t	v/n	v/n	F/T	m/J	Fq	Fax
0.00000000000000	0.00000000000000	0.00000000000000	1.23945798746087	0.00000000000000	220.75204889814901	0.00000000000000
0.00100000000000	0.00000000000021	0.00000000000002	1.23945798736962	0.00000000000000	220.75204889820901	0.00000000000000
0.00200000000000	0.00000000000014	0.00000000000001	1.23945798697444	0.00000000000000	220.75204889846700	0.00000000000000
0.00300000000000	0.00000000000000	0.00000000000000	1.23945798660943	0.00000000000000	220.75204889870500	0.00000000000000
0.00400000000000	-0.00000000000014	-0.00000000000001	1.23945798730778	0.00000000000000	220.75204889824900	0.00000000000000
0.00500000000000	-0.00000000000004	-0.00000000000000	1.23945798705405	0.00000000000000	220.75204889841501	0.00000000000000
0.00600000000000	0.00000000000008	0.00000000000001	1.23945798700194	0.00000000000000	220.75204889844900	0.00000000000000
0.00700000000000	0.00000000000020	0.00000000000002	1.23945798716231	0.00000000000000	220.75204889834399	0.00000000000000
0.00800000000000	0.00000000000032	0.00000000000003	1.23945798647298	0.00000000000000	220.75204889879399	0.00000000000000
0.00900000000000	0.00000000000030	0.00000000000003	1.23945798690633	0.00000000000000	220.75204889851099	0.00000000000000
0.01000000000000	0.00000000000025	0.00000000000003	1.23945798692916	0.00000000000000	220.75204889849601	0.00000000000000
0.01100000000000	0.00000000000019	0.00000000000002	1.23945798673951	0.00000000000000	220.75204889861999	0.00000000000000
0.01200000000000	0.00000000000014	0.00000000000001	1.23945798676233	0.00000000000000	220.75204889860501	0.00000000000000
0.01300000000000	0.00000000000009	0.00000000000001	1.23945798678516	0.00000000000000	220.75204889859000	0.00000000000000
0.01400000000000	0.00000000000004	0.00000000000000	1.23945798723284	0.00000000000000	220.75204889829800	0.00000000000000
0.01500000000000	-0.00000000000002	-0.00000000000000	1.23945798683082	0.00000000000000	220.75204889856099	0.00000000000000
0.01600000000000	-0.00000000000007	-0.00000000000001	1.23945798706601	0.00000000000000	220.75204889840700	0.00000000000000
0.01700000000000	-0.00000000000011	-0.00000000000001	1.23945798708507	0.00000000000000	220.75204889839401	0.00000000000000
