t	v/n	F/T	m/J	Fq	Fax
0.00000000000000	0.00000000000000	-10.29626840111029	0.00000000000000	11.16485952497652	-41.38137158684110
0.00400082000000	-0.00000000000000	-10.29626840110723	0.00000000000000	11.16485952497143	-41.38137158683499
0.00800165000000	-0.00000000000000	-10.29626840110716	0.00000000000000	11.16485952497131	-41.38137158683484
0.01200250000000	-0.00000000000000	-10.29626840110719	0.00000000000000	11.16485952497136	-41.38137158683490
0.01600330000000	-0.00000000000000	-10.29626840110735	0.00000000000000	11.16485952497163	-41.38137158683523
0.02000410000000	-0.00000000000000	-10.29626840110719	0.00000000000000	11.16485952497135	-41.38137158683489
0.02400490000000	-0.00000000000000	-10.29626840110727	0.00000000000000	11.16485952497148	-41.38137158683504
0.02800580000000	-0.00000000000000	-10.29626840110734	0.00000000000000	11.16485952497161	-41.38137158683520
0.03200660000000	-0.00105679188435	-11.33085139530327	0.00000000000000	12.63440168257110	-43.46860118404850
0.03600740000000	-0.01097050908240	-16.89121827017612	0.00000000000000	20.53264826547457	-54.68643162721000
0.04000820000000	-0.04260727917772	-24.78628907555456	0.00000000000000	31.75104499447680	-70.61436242364614
0.04400910000000	-0.10031194110174	-33.14856272717023	0.00000000000000	43.64378621651579	-87.48467460345745
0.04800990000000	-0.18467421755252	-41.53797817170094	0.00000000000000	55.59501713916129	-104.40945695124900
0.05201070000000	-0.29561459691035	-49.89256354554948	0.00000000000000	67.52918260967856	-121.26350326819519
0.05601150000000	-0.43295649049918	-58.21942832215468	0.00000000000000	79.47011999928326	-138.06102961667781
0.06001240000000	-0.59647554863520	-66.51910324541331	0.00000000000000	91.43645110597997	-154.80281036537161
0.06401320000000	-0.78587068463538	-74.77941010278167	0.00000000000000	103.42956043446280	-171.46401473333950
0.06801400000000	-1.00072488799220	-82.98253420908613	0.00000000000000	115.44609610622780	-188.00826245092830
0.07201480000000	-1.24048125354562	-91.11096277639420	0.00000000000000	127.48462412355789	-204.39968344125961
0.07601570000000	-1.50444487130870	-99.15645810590935	0.00000000000000	139.55903547852270	-220.62092973827541
0.08001650000000	-1.79194166249471	-107.07973055880440	0.00000000000000	151.63988318820759	-236.59178485577459
0.08401730000000	-2.09732060908002	-112.03707830446460	0.00000000000000	159.62180896778941	-246.57427163896401
0.08801810000000	-2.40807579476958	-112.92677174561160	0.00000000000000	161.85876415694369	-248.34468535119501
0.09201890000000	-2.71468511748924	-112.40301458196581	0.00000000000000	162.17038915631531	-247.25642421432659
0.09601980000000	-3.01393300254324	-111.58974171155540	0.00000000000000	162.18472844719551	-245.57560900439611
0.10002100000000	-3.30437507973006	-110.72607114665510	0.00000000000000	162.24906167325940	-243.78316006548610
0.10402100000000	-3.58474223260892	-109.78098328222200	0.00000000000000	162.31436572370859	-241.81487774451011
0.10802200000000	-3.85356341345196	-108.76232486011079	0.00000000000000	162.38905471558550	-239.68487562202179
0.11202300000000	-4.10924867222333	-107.65126765679460	0.00000000000000	162.44064248051930	-237.35340501134141
0.11602400000000	-4.35004294294529	-106.44367899660470	0.00000000000000	162.45687890766769	-234.81040922952209
0.12002500000000	-4.57409654019203	-105.11793290197200	0.00000000000000	162.40039445631049	-232.01036123960449
0.12402600000000	-4.77933288758654	-103.70411244981040	0.00000000000000	162.30695421243740	-229.01251706278941
